case_id,raw_components,kept_prompts,gt_prompts,gt_voxels
10397_1000403,8,2,1,857
10073_1000073,16,6,0,0
10583_1000597,4,2,0,0
10636_1000652,9,3,1,253
11035_1001055,8,2,0,0
10612_1000626,7,3,0,0
11296_1001319,9,3,1,114
10326_1000332,21,8,0,0
11391_1001415,22,8,0,0
10395_1000401,8,3,0,0
11252_1001275,13,6,0,0
10258_1000262,16,4,0,0
11113_1001136,16,5,0,0
11209_1001232,26,8,0,0
11452_1001476,7,3,0,0
10412_1000419,23,8,0,0
10756_1000772,10,3,0,0
10929_1000946,11,4,0,0
11210_1001233,23,8,0,0
11112_1001135,13,4,0,0
10667_1000683,7,4,0,0
10226_1000230,15,8,0,0
10486_1000494,18,6,1,285
11091_1001114,14,5,0,0
10094_1000094,8,2,1,403
11056_1001077,13,6,0,0
10229_1000233,17,6,1,2841
10393_1000399,6,2,1,729
11352_1001375,9,3,1,44220
10505_1000514,13,5,0,0
10159_1000162,14,8,0,0
11032_1001052,8,2,1,2795
10599_1000613,15,5,0,0
10097_1000097,4,1,1,4941
11310_1001333,18,8,0,0
10360_1000366,8,2,0,0
10208_1000212,8,2,0,0
11232_1001255,12,6,0,0
11191_1001214,12,4,0,0
11005_1001025,4,1,0,0
10828_1000844,13,4,0,0
11463_1001487,10,4,0,0
11378_1001401,16,7,0,0
11295_1001318,8,2,0,0
11245_1001268,9,3,1,2338
11050_1001070,43,8,1,939
11102_1001125,12,5,1,1068
11356_1001379,14,5,0,0
11350_1001373,10,4,1,1602
10856_1000872,13,6,1,2391
10646_1000662,11,4,0,0
10783_1000799,12,7,0,0
10191_1000194,9,3,0,0
10374_1000380,9,4,0,0
10597_1000611,12,5,0,0
10385_1000391,16,7,0,0
10087_1000087,8,5,0,0
11017_1001037,6,2,0,0
10313_1000319,15,7,0,0
10669_1000685,22,8,0,0
11362_1001385,8,2,0,0
11293_1001316,12,5,0,0
11037_1001057,4,1,1,11248
10104_1000104,15,7,0,204
10144_1000146,11,6,0,0
11375_1001398,4,1,1,1866
10370_1000376,13,6,0,0
10550_1000562,9,4,1,162
10460_1000468,21,7,0,0
10003_1000003,16,4,0,0
10217_1000221,23,8,0,0
10868_1000884,15,7,0,111
11161_1001184,9,3,0,0
10375_1000381,12,5,2,952
10693_1000709,4,1,1,8702
10069_1000069,17,7,0,0
10726_1000742,9,3,1,1836
10629_1000643,16,6,0,0
10494_1000503,4,1,1,5985
11087_1001109,16,6,0,0
10063_1000063,8,2,0,0
10793_1000809,13,5,0,0
10474_1000482,12,6,0,0
10414_1000421,4,1,0,0
11403_1001427,16,7,0,0
11291_1001314,13,4,0,0
10299_1000305,4,1,0,0
11157_1001180,8,2,1,3219
10712_1000728,12,7,0,0
10721_1000737,5,2,1,699
10176_1000179,11,5,0,0
11163_1001186,4,1,1,2004
10264_1000268,30,8,0,0
10311_1000317,16,6,0,0
10784_1000800,12,4,0,0
10722_1000738,11,4,0,0
11435_1001459,27,8,0,0
10673_1000689,7,2,0,0
10708_1000724,17,6,0,0
11241_1001264,7,3,0,0
11170_1001193,4,1,0,0
10794_1000810,13,7,0,0
10813_1000829,4,1,0,0
10816_1000832,18,8,0,0
10787_1000803,11,6,0,0
10183_1000186,12,4,0,0
11324_1001347,8,2,0,0
10531_1000541,13,5,0,0
11225_1001248,4,1,1,2997
11311_1001334,7,3,0,0
10723_1000739,51,8,0,0
11332_1001355,12,3,1,152
10545_1000556,13,4,1,1548
10683_1000699,8,2,0,0
10147_1000149,12,8,0,0
11303_1001326,18,7,0,0
10817_1000833,21,6,0,0
10382_1000388,61,8,0,0
10215_1000219,7,4,0,0
10053_1000053,9,3,1,372
11409_1001433,10,5,0,0
10508_1000517,12,3,1,356
11116_1001139,15,6,0,0
11279_1001302,19,5,0,0
10039_1000039,10,5,0,0
10980_1000999,20,7,0,0
11213_1001236,8,2,0,0
10824_1000840,9,3,0,0
10484_1000492,11,4,1,1176
10089_1000089,8,3,0,0
11308_1001331,15,6,0,0
11172_1001195,34,8,0,0
10773_1000789,12,6,1,483
10361_1000367,10,5,0,0
11051_1001071,6,2,1,675
10273_1000278,8,2,1,2833
10075_1000075,17,6,0,0
11177_1001200,9,3,1,1785
11074_1001096,16,5,2,831
10214_1000218,12,4,1,684
10259_1000263,12,4,0,0
10829_1000845,24,8,0,0
10515_1000525,12,3,1,360
11202_1001225,10,7,0,0
11309_1001332,12,4,0,0
11027_1001047,16,4,0,0
10563_1000575,19,6,0,0
10428_1000436,16,6,0,0
10321_1000327,12,5,0,0
10390_1000396,15,6,1,1860
10377_1000383,8,2,1,357
11084_1001106,8,2,0,0
11086_1001108,4,1,1,2382
10193_1000196,12,4,0,0
10968_1000987,8,2,1,3033
10425_1000433,9,3,0,0
10947_1000966,8,4,0,0
10499_1000508,6,2,1,412
11138_1001161,12,4,0,0
10072_1000072,5,2,0,0
11106_1001129,9,3,0,0
10663_1000679,11,5,0,0
10664_1000680,6,3,0,0
10246_1000250,16,4,0,0
11282_1001305,4,1,0,0
11344_1001367,19,8,0,0
11078_1001100,11,4,0,0
10211_1000215,4,1,1,2268
10710_1000726,4,1,1,3984
10725_1000741,9,4,0,0
11345_1001368,12,6,1,1203
11077_1001099,11,4,0,0
10850_1000866,9,3,0,0
10098_1000098,13,5,0,0
11422_1001446,21,8,0,0
10488_1000496,20,8,0,0
11307_1001330,4,1,0,0
10132_1000134,8,3,1,1431
10152_1000154,13,5,0,0
10888_1000904,14,7,2,633
11407_1001431,12,5,0,0
10798_1000814,9,4,1,23901
10235_1000239,4,1,1,1092
11137_1001160,14,6,1,249
10819_1000835,8,2,0,0
10202_1000206,8,4,0,681
10088_1000088,12,3,0,0
10368_1000374,4,1,1,2181
10644_1000660,9,3,2,971
10085_1000085,13,4,1,2235
11107_1001130,8,3,0,0
10271_1000275,4,1,1,3087
10116_1000116,13,4,0,0
10170_1000173,14,5,1,72
10077_1000077,15,5,0,0
11333_1001356,4,1,1,22890
11377_1001400,4,1,1,1356
10337_1000343,13,4,0,0
10966_1000985,16,8,0,0
10451_1000459,8,4,1,153
11004_1001023,8,2,0,0
10081_1000081,17,6,0,0
10309_1000315,21,7,0,0
11313_1001336,4,1,1,15640
10249_1000253,12,6,0,0
10115_1000115,13,7,0,0
10372_1000378,6,3,1,918
10006_1000006,10,4,0,0
11268_1001291,11,5,0,0
10639_1000655,15,8,0,0
10956_1000975,4,1,1,34476
10580_1000594,24,8,0,0
11341_1001364,8,2,1,11262
10748_1000764,11,5,0,0
10076_1000076,8,2,0,0
10634_1000650,4,1,1,3040
11374_1001397,8,3,0,0
10184_1000187,16,7,0,0
11121_1001144,21,6,0,0
10615_1000629,22,8,0,0
11254_1001277,8,3,0,0
10835_1000851,17,6,0,0
10870_1000886,18,5,0,0
10633_1000648,12,3,0,0
11040_1001060,11,3,0,0
10138_1000140,11,3,0,0
11250_1001273,8,3,0,0
10471_1000479,21,8,2,868
10095_1000095,4,1,0,0
11326_1001349,8,3,0,0
11358_1001381,9,4,0,0
10415_1000422,10,3,0,0
10251_1000255,27,8,0,0
11004_1001024,16,8,0,0
11473_1001497,5,2,0,0
10860_1000876,12,4,0,0
10263_1000267,13,4,0,0
10616_1000630,12,5,0,0
11235_1001258,16,5,0,0
10445_1000453,8,2,0,0
10652_1000668,16,6,1,165
10844_1000860,26,8,0,0
10607_1000621,17,8,1,540
10992_1001011,13,4,0,0
10062_1000062,24,8,0,0
10196_1000200,11,6,0,0
10129_1000129,14,5,0,0
10897_1000913,24,7,0,0
10013_1000013,11,3,0,111
10034_1000034,7,3,0,0
11130_1001153,5,2,1,1191
10788_1000804,13,4,0,0
11325_1001348,5,2,1,10173
10923_1000940,19,8,0,0
10294_1000300,19,7,1,180
10989_1001008,9,3,0,0
10864_1000880,8,4,0,0
10399_1000405,14,5,1,525
10411_1000418,8,4,0,0
11104_1001127,11,4,0,0
11283_1001306,8,3,1,3982
10454_1000462,14,6,0,0
10572_1000584,4,1,0,0
10354_1000360,9,3,1,1999
10561_1000573,12,4,0,0
10544_1000555,25,8,0,0
10881_1000897,12,3,0,0
11243_1001266,9,6,3,541
10589_1000603,9,3,1,1569
11195_1001218,16,5,0,0
10432_1000440,4,1,0,0
11456_1001480,5,2,1,651
10852_1000868,16,4,1,762
10463_1000471,4,1,1,1620
10899_1000915,12,4,0,0
11144_1001167,22,8,0,0
11180_1001203,32,8,0,0
11122_1001145,4,1,1,4350
10032_1000032,8,2,1,4215
11312_1001335,13,7,0,0
11118_1001141,34,8,0,0
10232_1000236,16,4,1,447
11089_1001112,13,5,0,0
10357_1000363,20,7,0,0
10333_1000339,10,5,0,0
10435_1000443,14,5,0,0
11054_1001074,14,6,0,0
11372_1001395,12,3,0,0
10650_1000666,19,7,0,0
11063_1001085,4,1,1,930
11095_1001118,14,5,1,1438
11064_1001086,23,8,0,0
10103_1000103,8,3,1,1083
10902_1000918,4,1,0,0
10312_1000318,16,6,1,1479
11120_1001143,6,3,0,0
10936_1000954,14,8,0,0
10367_1000373,9,3,0,0
10012_1000012,10,4,1,1062
10936_1000955,6,3,0,0
10521_1000531,16,5,0,0
11263_1001286,11,3,0,0
10404_1000411,14,5,0,0
10887_1000903,9,3,0,0
10025_1000025,8,2,0,0
11318_1001341,12,4,0,0
11446_1001470,4,1,1,1221
10948_1000967,4,1,1,2115
11115_1001138,4,1,1,14862
10779_1000795,9,4,0,0
10318_1000324,16,6,1,277
10580_1000593,15,7,0,0
10480_1000488,5,2,0,0
10719_1000735,7,3,0,0
10173_1000176,8,2,0,0
10904_1000920,4,1,1,10416
10878_1000894,14,5,0,0
10131_1000132,12,3,0,0
10059_1000059,4,1,1,8376
10896_1000912,8,2,0,0
11230_1001253,19,5,0,0
10281_1000286,7,3,0,0
11059_1001081,27,8,0,0
11427_1001451,4,1,0,0
10944_1000963,7,4,0,0
10181_1000184,14,5,0,0
11141_1001164,7,2,0,0
11327_1001350,7,3,0,0
10542_1000553,5,2,0,0
11080_1001102,13,6,1,807
10772_1000788,12,4,1,78
11022_1001042,32,8,0,0
10126_1000126,8,4,0,0
10386_1000392,9,4,0,0
11400_1001424,4,1,1,784
11219_1001242,16,7,0,0
11125_1001148,12,5,0,0
10625_1000639,9,3,0,0
10478_1000486,4,1,0,0
10308_1000314,21,8,0,0
11205_1001228,5,2,0,0
10532_1000542,4,1,0,0
11072_1001094,4,1,1,450
10204_1000208,9,3,0,0
10404_1000410,9,3,0,0
10448_1000456,10,3,0,0
10765_1000781,4,1,0,0
11124_1001147,15,6,0,0
11146_1001169,16,6,1,558
10526_1000536,14,6,1,621
10681_1000697,16,8,0,0
10976_1000995,11,5,1,1344
10209_1000213,12,4,1,236
10742_1000758,12,4,1,843
11169_1001192,16,8,1,882
10922_1000939,4,1,0,0
10233_1000237,4,1,1,24955
10449_1000457,11,5,0,0
11127_1001150,4,1,0,0
10164_1000167,5,2,1,411
10917_1000934,9,4,0,0
10768_1000784,5,2,1,1053
10672_1000688,12,3,0,0
11462_1001486,12,3,1,246
10618_1000632,9,3,0,0
10470_1000478,8,2,0,0
10698_1000714,8,3,0,0
11434_1001458,18,6,0,0
10442_1000450,4,1,1,3255
10162_1000165,9,3,0,0
10042_1000042,17,8,0,0
10757_1000773,8,3,0,0
11142_1001165,17,7,0,0
10156_1000159,11,5,0,0
10665_1000681,5,2,1,2430
10732_1000748,25,7,0,0
11140_1001163,8,2,0,0
11071_1001093,14,5,0,0
11129_1001152,16,7,0,0
10056_1000056,8,2,0,0
10609_1000623,14,5,0,0
10568_1000580,4,1,1,2640
10530_1000540,16,7,0,0
10362_1000368,8,2,0,0
10500_1000509,13,4,0,0
10305_1000311,15,5,0,0
10439_1000447,12,5,0,0
11249_1001272,8,3,0,0
10638_1000654,4,1,1,8547
11183_1001206,16,6,0,0
10212_1000216,9,3,1,761
10905_1000922,8,4,0,0
10329_1000335,16,4,1,2541
11055_1001076,17,7,1,1086
10009_1000009,9,4,0,0
10171_1000174,16,6,1,267
10548_1000560,9,4,1,423
10373_1000379,4,1,0,0
11103_1001126,5,2,0,0
11044_1001064,18,8,0,0
10083_1000083,13,5,0,0
10785_1000801,4,1,0,0
11139_1001162,12,6,0,0
11190_1001213,11,5,1,1812
10151_1000153,11,3,0,0
10101_1000101,16,4,0,0
10807_1000823,12,4,1,1659
10328_1000334,4,1,0,0
10918_1000935,8,2,0,0
11046_1001066,11,5,0,0
10091_1000091,16,5,0,0
10218_1000222,12,4,0,0
10431_1000439,13,5,1,1845
11010_1001030,8,2,0,0
10281_1000287,10,5,0,0
10566_1000578,23,7,0,0
11348_1001371,13,4,0,0
11457_1001481,13,6,0,0
10265_1000269,19,8,0,0
10213_1000217,8,2,0,0
10434_1000442,4,1,1,1977
10430_1000438,16,5,0,0
11097_1001120,12,4,0,0
10127_1000127,12,4,0,0
10338_1000344,13,6,1,606
10735_1000751,16,8,0,0
10477_1000485,4,2,0,0
10472_1000480,5,2,0,0
11233_1001256,17,6,0,0
10261_1000265,12,8,0,0
10272_1000276,12,3,0,0
11165_1001188,4,1,1,2595
11459_1001483,24,8,0,0
11194_1001217,8,2,1,3027
10958_1000977,12,3,0,0
10731_1000747,4,1,0,0
11147_1001170,13,5,0,0
11389_1001413,7,3,0,0
10898_1000914,5,2,0,0
10000_1000000,11,4,0,0
10781_1000797,11,4,1,537
10658_1000674,12,5,2,2022
11030_1001050,4,1,0,0
10627_1000641,10,7,0,0
10482_1000490,11,4,0,753
11145_1001168,8,3,0,0
10943_1000962,7,3,1,1158
10724_1000740,4,1,0,0
11015_1001035,4,1,0,0
10350_1000356,4,1,1,1491
10358_1000364,5,2,1,1650
10979_1000998,12,3,0,0
10225_1000229,14,6,2,354
10540_1000550,8,2,0,0
10427_1000435,9,3,0,0
10548_1000559,6,3,0,0
10236_1000240,4,1,1,7020
10495_1000504,11,4,0,0
11267_1001290,4,1,0,0
11416_1001440,4,1,0,0
10453_1000461,4,1,0,0
10895_1000911,11,3,1,609
10248_1000252,13,5,0,0
10268_1000272,8,2,2,2949
10567_1000579,11,4,1,393
11229_1001252,11,5,1,486
11474_1001498,11,5,0,0
10461_1000469,23,7,0,0
11171_1001194,21,6,0,0
10803_1000819,4,1,0,0
10145_1000147,11,4,0,0
10738_1000754,8,3,0,0
10130_1000131,13,5,0,0
10797_1000813,6,2,1,1713
10340_1000346,4,1,1,1548
10051_1000051,26,8,0,0
11370_1001393,4,1,0,0
10554_1000566,8,2,2,1950
10849_1000865,12,3,0,0
10962_1000981,8,2,0,0
10222_1000226,8,3,0,0
10963_1000982,8,2,0,0
10560_1000572,16,5,1,1070
11454_1001478,21,8,0,0
10614_1000628,4,1,0,0
10965_1000984,4,1,1,10527
11000_1001019,9,3,0,0
10833_1000849,14,5,1,876
11306_1001329,8,2,1,609
10582_1000596,15,6,0,0
10941_1000960,8,2,0,0
10810_1000826,17,6,1,281
11417_1001441,13,5,0,0
10921_1000938,8,4,1,378
10961_1000980,17,8,1,294
10851_1000867,5,2,0,0
10513_1000523,4,1,0,0
10936_1000953,10,5,0,0
11156_1001179,11,4,0,0
10718_1000734,4,1,1,1248
10128_1000128,9,3,0,0
10446_1000454,9,4,0,0
11201_1001224,34,8,0,0
11433_1001457,4,1,0,0
10302_1000308,14,6,0,0
11444_1001468,10,4,1,246
11450_1001474,5,2,1,609
11347_1001370,15,6,0,0
11023_1001043,23,8,0,0
10071_1000071,14,6,0,0
10668_1000684,6,3,1,1857
10046_1000046,4,1,0,0
11176_1001199,8,4,0,0
10044_1000044,9,3,1,594
10418_1000426,20,8,1,3840
10391_1000397,13,4,0,0
11458_1001482,35,8,0,0
10300_1000306,13,5,0,0
10932_1000949,2,2,0,129
10653_1000669,6,3,0,0
11029_1001049,20,8,0,0
11211_1001234,22,8,0,0
10197_1000201,12,3,0,0
10871_1000887,16,6,0,0
10142_1000144,16,4,0,0
11383_1001406,4,4,0,0
10629_1000644,8,4,0,0
10611_1000625,4,1,1,23991
11208_1001231,5,2,1,3744
10865_1000881,8,2,1,1164
10283_1000289,38,8,1,624
10141_1000143,4,1,0,0
11203_1001226,18,7,0,0
11398_1001422,14,5,0,0
11342_1001365,11,5,0,0
10688_1000704,11,4,3,1272
10026_1000026,5,2,0,0
10317_1000323,14,6,0,0
10861_1000877,21,6,0,0
10913_1000930,9,5,0,0
10078_1000078,8,3,1,270
11128_1001151,8,2,0,0
10137_1000139,9,6,0,0
10573_1000585,12,5,0,0
10001_1000001,12,3,0,0
10837_1000853,8,2,1,1623
10675_1000691,4,1,0,0
10911_1000928,5,2,1,1923
10131_1000133,16,7,0,0
11099_1001122,5,2,0,0
10522_1000532,5,2,2,40539
10316_1000322,14,4,0,0
11429_1001453,13,4,0,0
11237_1001260,16,6,0,0
10122_1000122,14,7,0,0
11281_1001304,14,5,0,0
11305_1001328,4,1,1,715
11182_1001205,14,7,0,0
10670_1000686,5,2,1,4449
10657_1000673,11,5,0,0
10857_1000873,16,4,1,144
10686_1000702,4,1,1,14142
10859_1000875,8,3,0,0
11302_1001325,8,2,1,57061
10540_1000551,4,1,1,22251
11315_1001338,11,4,0,0
10736_1000752,8,2,0,0
10971_1000990,17,7,0,0
10676_1000692,5,2,0,0
10292_1000298,17,7,0,0
10999_1001018,15,5,0,0
10189_1000192,8,2,0,0
11290_1001313,17,5,0,0
11070_1001092,10,4,0,0
10970_1000989,8,2,1,1821
10409_1000416,20,7,0,0
11329_1001352,11,6,0,0
10419_1000427,16,5,0,0
10879_1000895,17,6,0,0
10323_1000329,13,4,0,0
10804_1000820,8,2,1,3921
11092_1001115,22,8,0,0
10806_1000822,17,6,1,699
10584_1000598,9,4,1,2232
10808_1000824,8,2,1,780
10490_1000499,8,3,1,1071
11240_1001263,6,3,1,768
11390_1001414,12,4,0,0
10469_1000477,5,2,0,0
10630_1000645,4,1,1,28761
10546_1000557,8,2,0,0
10325_1000331,12,5,0,0
10649_1000665,11,4,0,0
10557_1000569,16,5,0,0
10586_1000600,8,2,0,0
10841_1000857,4,1,0,0
10631_1000646,16,4,2,1647
10791_1000807,11,4,0,0
10099_1000099,24,8,0,0
10635_1000651,6,2,0,114
11294_1001317,10,3,0,0
11189_1001212,8,3,0,0
11297_1001320,41,8,0,0
11361_1001384,4,1,1,4063
10335_1000341,7,2,0,0
10468_1000476,17,6,0,0
11369_1001392,6,3,1,2463
11364_1001387,25,8,0,0
10481_1000489,8,4,1,7062
10598_1000612,10,4,0,0
10347_1000353,10,3,0,0
10160_1000163,23,8,0,0
11002_1001021,4,1,1,6969
10758_1000774,12,4,1,2231
11393_1001417,19,7,0,0
11001_1001020,16,6,0,0
11461_1001485,21,8,0,0
11153_1001176,4,1,0,0
11151_1001174,13,4,0,0
10441_1000449,19,8,0,0
10107_1000107,5,2,1,900
10310_1000316,23,8,0,0
10809_1000825,14,5,0,0
10190_1000193,4,1,0,0
10348_1000354,5,4,0,0
10366_1000372,10,4,0,0
11054_1001075,15,8,1,4303
10766_1000782,6,4,0,0
10752_1000768,12,4,0,0
11346_1001369,16,8,4,7106
10120_1000120,19,8,0,0
11193_1001216,12,5,0,0
11136_1001159,17,8,0,0
10769_1000785,21,8,0,0
10304_1000310,8,2,1,354
10884_1000900,23,8,0,0
10096_1000096,12,6,0,0
10533_1000543,4,1,0,0
10933_1000950,9,3,0,0
11379_1001402,11,4,0,0
11186_1001209,4,1,1,16143
10369_1000375,23,7,2,805
11408_1001432,11,5,0,0
10697_1000713,15,7,0,0
11131_1001154,4,1,0,0
11274_1001297,8,2,1,20985
10285_1000291,16,6,0,0
10641_1000657,5,2,1,1272
11119_1001142,21,8,0,0
10875_1000891,9,4,1,318
10490_1000498,13,6,0,0
11204_1001227,9,3,0,0
11388_1001412,12,4,0,0
10203_1000207,8,2,0,0
10558_1000570,16,6,0,468
10352_1000358,4,1,0,0
10100_1000100,6,2,1,525
11014_1001034,25,8,0,0
10811_1000827,13,4,1,719
10516_1000526,12,4,0,0
10519_1000529,15,6,1,252
10465_1000473,8,2,2,3612
10242_1000246,19,7,0,0
11321_1001344,30,8,0,0
10027_1000027,12,4,0,0
11261_1001284,9,3,0,0
10061_1000061,20,8,0,0
10180_1000183,21,8,0,0
10346_1000352,10,4,0,0
10298_1000304,12,5,0,0
10517_1000527,4,1,1,317
10220_1000224,10,4,1,186
10796_1000812,13,8,0,0
10577_1000590,8,2,1,3785
11052_1001072,8,3,0,0
10569_1000581,17,8,0,0
11382_1001405,4,1,1,6315
10746_1000762,10,4,0,0
10695_1000711,19,8,0,0
10702_1000718,8,4,0,0
10195_1000199,13,5,0,0
11451_1001475,8,2,1,670
10525_1000535,8,2,0,0
10920_1000937,7,3,2,849
10537_1000547,13,8,1,1146
10740_1000756,8,3,0,0
10447_1000455,16,4,0,0
10711_1000727,12,4,0,0
11401_1001425,5,2,0,0
10172_1000175,24,8,0,0
11185_1001208,12,7,3,981
11024_1001044,19,6,0,0
11222_1001245,17,7,0,0
10030_1000030,14,7,0,0
10376_1000382,8,2,1,3644
10408_1000415,9,3,1,160
11402_1001426,16,4,0,0
10028_1000028,8,3,0,0
10822_1000838,4,1,0,0
11304_1001327,10,3,0,0
10863_1000879,8,3,0,0
10282_1000288,4,1,1,2145
10556_1000568,19,6,0,0
11088_1001111,13,6,0,0
10931_1000948,15,7,0,0
11026_1001046,8,2,0,0
11155_1001178,9,4,2,2061
11105_1001128,6,2,0,0
10086_1000086,8,2,0,0
10416_1000423,14,7,0,0
11160_1001183,7,3,0,0
10634_1000649,4,1,0,0
11100_1001123,4,1,1,24186
11039_1001059,4,1,1,35877
10060_1000060,14,5,0,0
10405_1000412,8,2,1,1008
10632_1000647,20,7,0,0
10125_1000125,17,6,0,0
10831_1000847,4,1,0,0
11371_1001394,12,4,0,0
10734_1000750,10,3,0,0
11083_1001105,9,5,1,630
11289_1001312,5,2,0,0
11455_1001479,12,3,0,0
11048_1001068,12,4,0,0
10576_1000588,13,5,0,0
11158_1001181,28,8,0,0
10536_1000546,13,6,0,0
10988_1001007,14,4,0,0
10244_1000248,15,3,0,0
11328_1001351,16,4,0,0
10498_1000507,11,5,2,1969
10199_1000203,11,6,0,0
10146_1000148,24,8,0,0
10713_1000729,16,5,0,0
10743_1000759,11,5,1,1602
11287_1001310,4,1,0,0
10995_1001014,10,3,1,350
11244_1001267,6,5,0,0
10250_1000254,23,8,0,0
10040_1000040,4,1,1,1836
10230_1000234,17,6,0,0
10110_1000110,8,2,1,1362
10883_1000899,19,5,1,642
10267_1000271,8,5,0,0
10830_1000846,20,7,0,0
10363_1000369,14,5,0,0
11275_1001298,17,6,0,0
10939_1000958,16,7,0,0
11363_1001386,13,6,0,0
10068_1000068,5,2,0,0
11331_1001354,13,4,0,0
10845_1000861,7,3,1,1293
10587_1000601,16,7,0,0
11383_1001407,13,5,0,0
11188_1001211,16,5,1,831
11168_1001191,8,3,0,185
10501_1000510,12,4,2,3917
11006_1001026,13,5,0,0
10082_1000082,8,2,0,0
10952_1000971,9,3,0,0
10353_1000359,10,4,0,0
10167_1000170,10,4,0,0
10504_1000513,11,3,0,0
10737_1000753,21,7,0,0
10339_1000345,11,4,1,2376
10945_1000964,14,6,0,0
11430_1001454,11,5,0,0
10450_1000458,4,1,0,0
10187_1000190,9,3,0,0
10706_1000722,9,4,0,0
11117_1001140,8,3,1,723
10342_1000348,4,1,1,2994
10576_1000589,12,6,0,0
10703_1000719,13,4,0,0
10277_1000282,5,2,0,0
11109_1001132,10,3,0,0
10198_1000202,12,3,0,0
10647_1000663,9,3,0,0
10496_1000505,4,1,1,40370
10423_1000431,6,3,0,0
10574_1000586,16,7,0,0
10149_1000151,16,7,0,0
11159_1001182,10,7,0,0
11404_1001428,31,8,0,0
11111_1001134,25,8,1,826
10622_1000636,4,1,1,32934
11045_1001065,10,4,1,1656
10456_1000464,12,5,1,180
10905_1000921,7,2,0,0
10617_1000631,7,3,0,0
11082_1001104,5,2,0,0
10121_1000121,4,1,1,4194
10739_1000755,8,2,1,2196
10892_1000908,13,8,0,0
10661_1000677,5,2,1,210
10420_1000428,19,8,0,0
